ids,labels,parents
Type Products,All Products,
Animal Products,Animal  Products,Type Products
Vegetable Products,Vegetable Products,Type Products
Animal and Vegetable Bi-Products,Animal and Vegetable Bi-Products,Type Products
Foodstuffs,Foodstuffs,Type Products
Mineral Products,Mineral Products,Type Products
Chemical Products,Chemical Products,Type Products
Plastics and Rubbers,Plastics and Rubbers,Type Products
Animal Hides,Animal Hides,Type Products
Wood Products,Wood Products,Type Products
Paper Goods,Paper Goods,Type Products
Textiles,Textiles,Type Products
Footwear and Headwear,Footwear and Headwear,Type Products
Stone And Glass,Stone And Glass,Type Products
Precious Metals,Precious Metals,Type Products
Metals,Metals,Type Products
Machines,Machines,Type Products
Transportation,Transportation,Type Products
Instruments,Instruments,Type Products
Weapons,Weapons,Type Products
Miscellaneous,Miscellaneous,Type Products
Cocoa and cocoa preparations,Cocoa and cocoa preparations,Foodstuffs
Preparations of cereals flour starch or milk,Preparations of cereals flour starch or milk,Foodstuffs
Preparations of vegetables fruit nuts or other parts of plants,Preparations of vegetables fruit nuts or other parts of plants,Foodstuffs
Miscellaneous edible preparations,Miscellaneous edible preparations,Foodstuffs
Beverages spirits and vinegar,Beverages spirits and vinegar,Foodstuffs
Food industries residues and wastes thereof,Food industries residues and wastes thereof,Foodstuffs
Tobacco and manufactured tobacco substitutes,Tobacco and manufactured tobacco substitutes,Foodstuffs
Salt,Salt,Mineral Products
Ores slag and ash,Ores slag and ash,Mineral Products
Mineral fuels mineral oils and products of their distillation,Mineral fuels mineral oils and products of their distillation,Mineral Products
Inorganic chemicals,Inorganic chemicals,Chemical Products
Organic chemicals,Organic chemicals,Chemical Products
Pharmaceutical products,Pharmaceutical products,Chemical Products
Fertilizers,Fertilizers,Chemical Products
Tanning or dyeing extracts,Tanning or dyeing extracts,Chemical Products
Essential oils and resinoids,Essential oils and resinoids,Chemical Products
Soap organic surface-active agents,Soap organic surface-active agents,Chemical Products
Albuminoidal substances,Albuminoidal substances,Chemical Products
Explosives,Explosives,Chemical Products
Photographic or cinematographic goods,Photographic or cinematographic goods,Chemical Products
Chemical products n.e.s.,Chemical products n.e.s.,Chemical Products
Plastics and articles thereof,Plastics and articles thereof,Plastics and Rubbers
Rubber and articles thereof,Rubber and articles thereof,Plastics and Rubbers
Raw hides and skins (other than furskins) and leather,Raw hides and skins (other than furskins) and leather,Animal Hides
Articles of leather,Articles of leather,Animal Hides
Furskins and artificial fur,Furskins and artificial fur,Animal Hides
Wood and articles of wood,Wood and articles of wood,Wood Products
Cork and articles of cork,Cork and articles of cork,Wood Products
Manufactures of straw esparto or other plaiting materials,Manufactures of straw esparto or other plaiting materials,Wood Products
Pulp of wood or other fibrous cellulosic material,Pulp of wood or other fibrous cellulosic material,Paper Goods
Paper and paperboard,Paper and paperboard,Paper Goods
Printed books newspapers pictures and other products of the printing industry,Printed books newspapers pictures and other products of the printing industry,Paper Goods
Silk,Silk,Textiles
Wool fine or coarse animal hair,Wool fine or coarse animal hair,Textiles
Cotton,Cotton,Textiles
Vegetable textile fibres,Vegetable textile fibres,Textiles
Man-made filaments,Man-made filaments,Textiles
Man-made staple fibres,Man-made staple fibres,Textiles
Wadding felt and nonwovens special yarns,Wadding felt and nonwovens special yarns,Textiles
Carpets and other textile floor coverings,Carpets and other textile floor coverings,Textiles
Woven fabrics,Woven fabrics,Textiles
Textile fabrics,Textile fabrics,Textiles
Knitted or chrocheted fabrics,Knitted or chrocheted fabrics,Textiles
Knitted or crocheted apparel and clothing accessories,Knitted or crocheted apparel and clothing accessories,Textiles
Non-knit or crocheted apparel and clothing accessories,Non-knit or crocheted apparel and clothing accessories,Textiles
Textiles made up articles,Textiles made up articles,Textiles
Footwear,Footwear,Footwear and Headwear
Headgear and parts thereof,Headgear and parts thereof,Footwear and Headwear
Umbrellas sun umbrellas walking-sticks seat sticks whips riding crops,Umbrellas sun umbrellas walking-sticks seat sticks whips riding crops,Footwear and Headwear
Feathers and down prepared,Feathers and down prepared,Footwear and Headwear
